,name,m_or_f,namelen
7338,ashutosh kumar,m,14
7339,majid,m,5
7341,mohd samim,m,10
7342,pasanjeet,m,9
7343,jagtar singh,m,12
7346,akram khan,m,10
7347,lalit saini,m,11
7348,jaskaran singh,m,14
7349,har bilas,m,9
7350,krishna nand,m,12
7351,darshan lal sonkar,m,18
7352,jishan,m,6
7353,vashisast,m,9
7354,sonu virendra,m,13
7355,aasish sharma,m,13
7356,tapan kumar,m,11
7357,abhash verma abhishek,m,21
7358,sabir ali,m,9
7359,puran regar,m,11
7362,himanshu sharma,m,15
7363,udai pratap singh,m,17
7364,ajay singh bhati,m,16
7365,harendra singh,m,14
7366,abbal singh,m,11
7368,karan sabharwal,m,15
7371,yaswani panday,m,14
7372,sahab singh alias bitu,m,22
7373,bhud ram,m,8
7374,jai sharma,m,10
7375,narendra kumar jain,m,19
7376,dev puri goswami,m,16
7377,neeraj verma chotu,m,18
7378,mohamad faisal,m,14
7379,suresh chandra,m,14
7380,deepi,m,5
7381,mula ram,m,8
7383,salman shera,m,12
7384,vivek mohan arya,m,16
7385,subash bim,m,10
7387,rahul joni,m,10
7388,asha,m,4
7389,ankit lala,m,10
7390,suraj tiwari,m,12
7391,gora singh,m,10
7393,aajad singh,m,11
7394,ravinder kr malhotra,m,20
7395,ankit happy,m,11
7397,deepak midha,m,12
7399,munnakumar,m,10
7400,rajbeer,m,7
7401,prakash prajapt,m,15
7402,ashish malodia,m,14
7403,chandreshwar,m,12
7404,lokesh happy,m,12
7405,mehboob mehandi,m,15
7406,lal bahadur jha,m,15
7408,chand ram,m,9
7409,sachidanand,m,11
7410,mahinder,m,8
7411,pardeep singh,m,13
7412,naulesh,m,7
7414,kamalkishore,m,12
7415,tahir hussain,m,13
7416,subhash nimbolkar,m,17
7417,munnem meena,m,12
7418,eliyas,m,6
7419,md. mujmmil,m,11
7421,moh.jakir,m,9
7422,prakash meena,m,13
7425,ramdutt,m,7
7426,munender pratap singh,m,21
7427,suraj kukku,m,11
7428,bipin,m,5
7429,aas mohd.,m,9
7430,lavish kumar,m,12
7431,md sakil,m,8
7432,rajnesh,m,7
7433,daya nand,m,9
7434,kishn lal,m,9
7435,gulsher,m,7
7436,poonam chand,m,12
7437,ct sandeep,m,10
7438,ct sandeep singh,m,16
7439,asha nand,m,9
7440,puneet arun,m,11
7441,rafal singh,m,11
7442,aas mohammad,m,12
7443,poonam wo,m,9
7444,hardas singh,m,12
7446,ramjanam,m,8
7448,arbaz,m,5
7449,mahinder yadav,m,14
7450,a. suresh,m,9
7452,veeri singh,m,11
7453,suresh chand chakarwati,m,23
7454,suraj bahadur,m,13
7455,ed mohmad,m,9
7456,raju yadav,m,10
7457,md rahul,m,8
7458,sh. ram bahadur,m,15
7460,palaram,m,7
7461,mod akram,m,9
7462,vicky vikash,m,12
7463,,m,3
7464,sanjay chug,m,11
7465,gyanu kumar,m,11
7466,vicky kumar,m,11
7468,hukamchand,m,10
7469,israr,m,5
7470,pooranmal,m,9
7471,anandu krishan,m,14
7472,mohd. amjad,m,11
7474,saddam khan,m,11
7476,ankit khatri,m,12
7477,punit yadav,m,11
7480,ravi tiwari,m,11
7481,garsh,m,5
7482,araslan yusuf,m,13
7483,rohitash,m,8
7485,upender choudhry,m,16
7486,dhan chandar,m,12
7488,kush gupta,m,10
7490,gulshan bhola,m,13
7491,kuldeep kasyp,m,13
7492,mohd javedh,m,11
7493,rajender kumar dheer,m,20
7494,mandeep singh,m,13
7495,mukesh verma,m,12
7497,sagar shekh,m,11
7498,zaheer ahmad,m,12
7499,vinod arora,m,11
7500,kamal meen,m,10
7501,sujit singh chaudhary,m,21
7502,satyanarayan lohar,m,18
7503,sarvjeet singh,m,14
7505,shivraj singh,m,13
7506,ankit verma,m,11
7507,baldev singh,m,12
7508,vipun kocher,m,12
7510,ghanshayam,m,10
7511,bhagwati lal jat,m,16
7512,umar daraj,m,10
7513,rahul nath gupta,m,16
7514,swedesh mahaldar,m,16
7515,rajesh god,m,10
7517,bhusan,m,6
7518,galiya,m,6
7519,mithilesh kumar sharma,m,22
7520,mohd kamaal,m,11
7521,birender pal,m,12
7523,chhantu dass,m,12
7524,nimahe mandal,m,13
7525,shlender,m,8
7526,mohan adiwasi,m,13
7527,dulal,m,5
7528,tanuja,m,6
7529,vedprakash sharma,m,17
7530,abhishek sumit,m,14
7531,nitish kumar,m,12
7533,shalender,m,9
7535,madan mohan,m,11
7536,kaloo giri,m,10
7537,inayat hussen,m,13
7539,neetu,m,5
7540,shiv pal,m,8
7541,pradeepkale,m,11
7542,hasina,m,6
7543,garupal singh,m,13
7544,udit kumar pingu,m,16
7546,aayush kashyap,m,14
7548,sachin kumar mittal,m,19
7549,sahib saran,m,11
7552,shishram yadav,m,14
7553,rohtash saini,m,13
7554,rameshwer urf kallu,m,19
7555,,m,3
7556,adan,m,4
7557,sanjay gindo,m,12
7558,ramdhan,m,7
7559,kirshan pal,m,11
7562,deepak bhatt,m,12
7563,afsar alam,m,10
7565,barkat ali,m,10
7567,mohd sohaib,m,11
7568,taj mohd,m,8
7569,raju ghosh,m,10
7570,ravi kant boity,m,15
7571,sachin kumar garg,m,17
7572,klash kumar,m,11
7573,ram,m,3
7575,dharminder,m,10
7576,bherav dutt,m,11
7577,vikaram,m,7
7578,ayub ali,m,8
7580,jafruddin,m,9
7581,faran singh,m,11
7582,sanjiv kumar jain,m,17
7584,manmohan khurana,m,16
7586,baleshwer,m,9
7588,mohd rafiq,m,10
7589,arpit avasthi,m,13
7590,kale,m,4
7591,rishu vishal bansal,m,19
7592,banju,m,5
7595,pankaj chobe,m,12
7596,gawali pandharinath yadav,m,25
7597,md inaam ahmad so vishal ahmad,m,30
7598,,m,3
7599,lokindra singh,m,14
7600,ram lagan singh,m,15
7601,vikas thakur,m,12
7602,gd harendra yadav,m,17
7604,hanshraj,m,8
7605,subhash kumar,m,13
7606,barkat,m,6
7608,,m,3
7609,birbal ram,m,10
7610,veeri singh jatav,m,17
7612,navendra,m,8
7614,sandeep dahiya mso azad singh ro village bound p,m,48
7617,parkash sagar,m,13
7618,md rahmat ali,m,13
7622,arhiyant jain,m,13
7623,suman lal,m,9
7624,bajrang lal jugal kishor,m,24
7625,rana,m,4
7626,vansh goel,m,10
7627,jagbir,m,6
7629,sharda rao,m,10
7630,mho javed,m,9
7631,km.deyji,m,8
7632,mohd masoom billa,m,17
7633,bhasker nath tiwari,m,19
7634,abdul hafiz,m,11
7635,tool bahadur,m,12
7636,mukkesh,m,7
7637,jagdish parsad so mohru lal,m,27
7638,vinit kumar banty,m,17
7639,dhanu dhanparkesh,m,17
7641,rajiv raju,m,10
7642,ajit kumar,m,10
7643,rohitash keer,m,13
7644,gulab gameti,m,12
7645,kareshan,m,8
7646,parmodh,m,7
7648,devashish sahu,m,14
7649,vishal srivastav,m,16
7650,parsant,m,7
7651,rama nand,m,9
7652,mohamad sahajeet,m,16
7653,deepak tak,m,10
7654,abdul aziz,m,10
7655,devender kumar ashu,m,19
7656,jishant,m,7
7657,dalpat,m,6
7659,deeraj,m,6
7660,ashok meena,m,11
7662,budhu,m,5
7663,maushid,m,7
7664,jagdish kaliya,m,14
7665,mudssir,m,7
7666,lav,m,3
7667,deewan singh,m,12
7668,zamile amhed,m,12
7671,mushir,m,6
7672,rambarose,m,9
7673,mohd siraz so mohd nisar,m,24
7674,ansar,m,5
7675,parveen sha,m,11
7676,ratan singh,m,11
7678,mr. kishan singh,m,16
7679,biram,m,5
7680,jaquir,m,6
7681,deepan dev,m,10
7682,rahu kumar,m,10
7683,meera devi,m,10
7684,munna ram,m,9
7685,ct. dilbag singh,m,16
7686,sadabrij,m,8
7687,rudra narayan urf sonu,m,22
7689,akshay hunny,m,12
7690,lokesh deswal,m,13
7692,parvesh poni,m,12
7694,aahim,m,5
7695,shyan bahadur,m,13
7696,shahbuddin,m,10
7697,ram singh negi,m,14
7698,puran chandra bahuguna,m,22
7699,tara chand sharma,m,17
7700,sh labh singh,m,13
7701,pervinder,m,9
7703,girish chander kapadi,m,21
7705,narendra nagda,m,14
7706,nadeem kha,m,10
7707,mohammad humayoun,m,17
7709,gurdayal,m,8
7710,omprakash so balsingh,m,21
7711,shan mohd,m,9
7712,keval thakur,m,12
7714,jairam singh,m,12
7715,pooja chaudhry,m,14
7716,vishnu parshad,m,14
7717,ram kishan gola,m,15
7718,vijay banshwal,m,14
7719,jeet pal jitu,m,13
7722,mrityunjay,m,10
7723,masheen yadav,m,13
7724,syamsunder,m,10
7725,girjesh kumar,m,13
7726,sattaram,m,8
7727,mangi ram singh,m,15
7728,habib so karimsab,m,17
7729,nayan saikh,m,11
7731,subburaiyalu,m,12
7733,himansu garg,m,12
7735,nakched parsad,m,14
7737,upender,m,7
7738,saranjeet singh,m,15
7740,ravinder kumar rai dannu kumar rai,m,34
7741,babar,m,5
7742,karmveer singh negi,m,19
7743,pram jeet dabas,m,15
7744,emilia toppo,m,12
7745,bhramanand kumar,m,16
7746,surender kumar yadav kaku,m,25
7748,akhil ravindran,m,15
7750,ankit negi,m,10
7751,mahnatha sahni,m,14
7752,hansraj meena so raghunath meena ro maharajpura,m,47
7753,rohit gill,m,10
7754,deepak pardeep,m,14
7755,rajit kumar,m,11
7756,ayush pathak,m,12
7757,mahesh kumar yogi,m,17
7758,kishan chand rahul,m,18
7760,latesh,m,6
7762,shambhu munda,m,13
7763,dinesh gupta,m,12
7765,ganpati korada,m,14
7766,fateh singh,m,11
7767,prince kumar,m,12
7768,chhanoyar shekh,m,15
7770,vikesh kumar,m,12
7771,vivek urfh navin,m,16
7772,bishesh kumar,m,13
7773,riyazuddin,m,10
7774,sh attar singh,m,14
7775,chanchal chintu,m,15
7779,sujit kumar,m,11
7780,urmila,m,6
7781,kumari preeti,m,13
7784,kalayan,m,7
7785,vivek kumar gupta,m,17
7786,mho aamir,m,9
7787,sujata yadav,m,12
7788,,m,3
7789,jagdish ram,m,11
7790,ramesh meena,m,12
7791,sanjay gupta,m,12
7793,tushar vats,m,11
7794,mehtab alam,m,11
7795,manish jain,m,11
7796,mahendra singh chotele,m,22
7797,mukish kumar,m,12
7800,amrish dixit,m,12
7801,nanak prasad,m,12
7803,sunil kumar bharati,m,19
7804,bhura ram,m,9
7805,pram prkash sharma,m,18
7806,altab,m,5
7807,lokesh kumar ojha,m,17
7808,rahul bhiram,m,12
7809,karan trehan,m,12
7810,niyaaz khan,m,11
7811,ajay tomar,m,10
7812,md afjal,m,8
7813,ramkaran gujar,m,14
7814,yaqoob,m,6
7815,ali mohamad,m,11
7816,vasim bhoora,m,12
7817,muzamiil,m,8
7818,adrash,m,6
7819,lekhram,m,7
7821,ajay bairagi,m,12
7822,mohd. sazzad ansari,m,19
7823,hardev,m,6
7824,punit sharma,m,12
7825,suraj malhotra,m,14
7826,moh.,m,4
7827,chand miya,m,10
7828,nanka bhil,m,10
7830,neeraj kumar verma,m,18
7831,pusgpender,m,10
7832,dinesh kartik,m,13
7833,sumesh,m,6
7834,surya narayan,m,13
7835,hardam kumar,m,12
7836,mukhtar khan,m,12
7837,sunilrawat,m,10
7840,gulshan grover,m,14
7841,hitlar,m,6
7842,kala,m,4
7843,faiyaaz,m,7
7844,jai narayan jat,m,15
7845,sh.shiv charan singh,m,20
7846,salim kha,m,9
7847,fakrudeen,m,9
7848,vishal lamba,m,12
7849,mo. safik,m,9
7850,vinayak,m,7
7853,avinash jha,m,11
7854,shubham dandriyal,m,17
7855,saahil nautiyal,m,15
7857,braj mohan,m,10
7858,pappu raju,m,10
7860,rajider singh,m,13
7861,akram ali,m,9
7864,naryan chamaar,m,14
7866,satayanarayan,m,13
7867,manoj jha,m,9
7868,maisan,m,6
7869,shiv sagar,m,10
7871,mathura vijay,m,13
7872,deerendra singh,m,15
7873,dhirender singh ravat,m,21
7874,rajesh kumawat,m,14
7875,sorab,m,5
7876,omparkesh,m,9
7877,jitesh,m,6
7878,kouchu,m,6
7879,sandeep sahu,m,12
7884,mujeeb,m,6
7885,amit pal,m,8
7887,chunni lal,m,10
7889,noor ahmed,m,10
7890,pramod choudhary,m,16
7891,saud,m,4
7893,adarsh sonu,m,11
7894,bhupesh kumar,m,13
7895,ghantoli,m,8
7896,shekhar chand,m,13
7897,lokesh manchanda,m,16
7898,muzmil,m,6
7899,ravindra jindwal,m,16
7901,sajid hussen,m,12
7902,haliya charpota,m,15
7904,riyajul,m,7
7905,pawan kumar gupta,m,17
7906,anoop roy,m,9
7907,chandpreet,m,10
7908,chaman gupta,m,12
7909,ved pal,m,7
7910,ankit gupta,m,11
7912,sahnabaj,m,8
7914,nabi hussain,m,12
7915,prakash regni,m,13
7916,ram kuamr,m,9
7917,mathura singh,m,13
7918,sandeep sharma,m,14
7919,karan gulyani,m,13
7920,naman kaushik,m,13
7922,titu,m,4
7924,abhijeet adhikari,m,17
7925,pradeep sunny,m,13
7926,mayank pandey,m,13
7927,sachin tomar,m,12
7929,javed siafi,m,11
7933,hari uraown,m,11
7934,satpal kaura,m,12
7935,jaspreet,m,8
7936,hariom pandayshivam,m,19
7938,vijay tyagi,m,11
7939,mukesh chauhan,m,14
7940,goldi chopra,m,12
7941,khursid alam,m,12
7942,nesha,m,5
7943,sohal pal,m,9
7944,ajay sadana,m,11
7945,tulcharam,m,9
7946,punkaj,m,6
7947,dashrath,m,8
7949,sumnesh,m,7
7950,chander prakash bansal,m,22
7951,rajesh arorakamal,m,17
7952,chunaram,m,8
7954,shri kumar,m,10
7955,mohd. kasim,m,11
7956,rajiv shah,m,10
7958,mohammad shahid,m,15
7959,isharar ahmed,m,13
7961,yadvir,m,6
7962,santram santu,m,13
7964,ashok kumar jain,m,16
7965,pradeep singh,m,13
7966,ramniwas,m,8
7967,s p vinit gupta,m,15
7968,gulshan singh,m,13
7971,tariq,m,5
7972,satendra kumar,m,14
7973,banti,m,5
7974,umanath nanda babu,m,18
7975,atif,m,4
7978,randhir kumar,m,13
7979,mohd mahfooz alam,m,17
7980,,m,3
7981,sauhal,m,6
7983,tarun upadhyay,m,14
7985,mustafa mandal,m,14
7986,shil kherval,m,12
7987,lalit mohan rawat,m,17
7988,parkash agarwal,m,15
7989,rajkumar sharjma,m,16
7990,manish gautam,m,13
7992,sanny,m,5
7993,viresh kumar,m,12
7994,mohd. arjoo,m,11
7995,shi girdhari,m,12
7996,sumit chhouhan,m,14
7997,nikhil kumar,m,12
7998,dalpat singh,m,12
7999,shiv kumar rai,m,14
8000,kalu lal meena,m,14
8001,bunda ram,m,9
8003,anil nimesh,m,11
8004,kauva,m,5
8006,rajesh rawat,m,12
8007,deepak pritesh,m,14
8008,rakesh singh,m,12
8009,nagender singh,m,14
8011,nishant tyagi,m,13
8012,lukkad kishore,m,14
8013,vinod biraje,m,12
8014,prittam dass,m,12
8015,harvinder kala ravinder,m,23
8016,malkeet,m,7
8017,ghisaram amar singh,m,19
8018,anand msingh,m,12
8019,mohd. iliyas firoj,m,18
8020,poma ram,m,8
8021,husain mohommad,m,15
8022,sandip kumar,m,12
8023,rajesh kumar gupta,m,18
8024,budhi singh,m,11
8026,chhabil singh,m,13
8027,susan subva,m,11
8030,babudden kuresi,m,15
8031,tilakraj,m,8
8032,vicky sharma,m,12
8033,sahnaj,m,6
8035,partap pappu,m,12
8036,shekh nasir husain,m,18
8037,shri gani mohammad,m,18
8038,animesh kumar suman,m,19
8039,sumit bainsla,m,13
8040,kingkar mandal deepak,m,21
8042,sandeep kasera,m,14
8043,bheem pal,m,9
8045,ramesh panwanr,m,14
8046,khushi mho,m,10
8047,jodhi kumar,m,11
8048,avdesh kumar yadav,m,18
8049,gopal singh hada,m,16
8051,anurag mohan saklani,m,20
8052,gen bahadur,m,11
8053,safiq shanawaj,m,14
8054,shami khurana,m,13
8055,panchuram meena,m,15
8059,rahul bhola,m,11
8060,nikhil saini,m,12
8061,amit tandan,m,11
8062,vinod sehgal,m,12
8064,,m,3
8066,girwer singh,m,12
8067,jagdesh ram meghwal,m,19
8068,basibul,m,7
8069,rameh chand,m,11
8070,mahesh sharma,m,13
8071,arvind ramesh,m,13
8072,dhulin,m,6
8075,ilyas,m,5
8076,rafeddin,m,8
8077,md. waseem,m,10
8078,anurag singh alias banti,m,24
8079,sushil sharma,m,13
8080,shital,m,6
8081,jetender sonu,m,13
8082,angda prasad mishra,m,19
8083,jafar ali,m,9
8084,ashu singh,m,10
8085,gulfam saifi,m,12
8087,narendra mishra,m,15
8088,avnit chotu,m,11
8089,prayatan prabhas,m,16
8091,maan singh,m,10
8093,deni,m,4
8097,vijay lal,m,9
8098,dilvar,m,6
8100,ramu ramchandar,m,15
8101,om prakash jat,m,14
8102,pritam,m,6
8105,jitender yadav,m,14
8107,mo vahid,m,8
8108,ashok agrrwal,m,13
8109,prinsh,m,6
8110,sh lalchand,m,11
8114,sonu roy,m,8
8117,gaurav little,m,13
8118,sukhsohan,m,9
8119,jai gopal,m,9
8120,basant ram,m,10
8121,mohd iqbal,m,10
8122,shahzad,m,7
8123,raju kashyap,m,12
8124,mohan singh meena,m,17
8125,md. saran,m,9
8127,aman deep,m,9
8128,chotum karmokar,m,15
8129,ikbal,m,5
8130,manish mantu,m,12
8131,tapender upadyay,m,16
8132,tejender singh,m,14
8133,krishnal,m,8
8134,ashu rehman,m,11
8135,arajun singh,m,12
8137,maman singh,m,11
8138,rasid,m,5
8139,dhurv solanky,m,13
8140,osier,m,5
8141,jitender tiwari,m,15
8143,babloo ajay,m,11
8144,vishal sarin,m,12
8145,nagendra parihar,m,16
8146,narayan sharma,m,14
8148,aash mohoomad,m,13
8149,sumant chintu,m,13
8150,md chand,m,8
8151,mukat singh,m,11
8152,arjun ram,m,9
8153,santosh kuamr,m,13
8154,ram naresh tiwari,m,17
8155,sakchan,m,7
8156,kirorimal,m,9
8157,bhimsen,m,7
8158,lakhu parsad,m,12
8159,sourab verma,m,12
8160,ashish rout,m,11
8161,shri ram parkash,m,16
8162,daksh,m,5
8163,sanjay ram,m,10
8164,mitlesh kumar mishra,m,20
8166,vakeel,m,6
8167,ramswroop so jaidev mena,m,24
8168,mishrilaal,m,10
8172,mohd. aklim,m,11
8173,aman kalu,m,9
8174,pradep kumar,m,12
8175,jeet ram,m,8
8176,parth,m,5
8177,bhemji patidar,m,14
8178,moh an kumar,m,12
8179,rajat garg,m,10
8181,sanjeev shekhar,m,15
8182,modh danish,m,11
8184,chertamani dubey,m,16
8186,veer bahadur,m,12
8187,hifjul kha,m,10
8188,sainky,m,6
8189,jayantadass,m,11
8192,bupal,m,5
8193,sukesh kumar choudhary,m,22
8194,ranjan singh,m,12
8195,mohd ashim,m,10
8197,sagan lal chalan,m,16
8198,ravi nanna,m,10
8199,guddu paswan,m,12
8200,jagdish lal,m,11
8201,nitish negi,m,11
8202,tepu mohd,m,9
8203,rohit jangu,m,11
8206,uma ram,m,7
8207,not known,m,9
8208,chirag batta,m,12
8209,sumit sah,m,9
8210,bawan yadav,m,11
8211,jagdish singh,m,13
8212,jyoti prasad,m,12
8213,jatin pal,m,9
8215,manish saini,m,12
8216,arpit aroda,m,11
8217,pachuram verma,m,14
8218,chote khan,m,10
8220,mikel,m,5
8222,rampal alis ram lal,m,19
8223,naseef,m,6
8224,alok,m,4
8225,saurabh pande,m,13
8228,tarachand,m,9
8229,pradeep kumar chauhan,m,21
8230,rohit agarwal,m,13
8233,akhlish kumar,m,13
8234,rakesh bablu,m,12
8235,vimal nepali,m,12
8236,akhalak,m,7
8237,priju,m,5
8238,nathani mandal,m,14
8239,kamlesh kumar,m,13
8241,tirath,m,6
8242,mahtab ali,m,10
8243,asha ram,m,8
8244,ragib,m,5
8246,mithun malakar,m,14
8247,avinash sandeep,m,15
8248,sunil fouji,m,11
8250,rakesh chand,m,12
8252,gufran khan,m,11
8253,aatif ali,m,9
8258,shan mohamad,m,12
8259,sabid,m,5
8260,satbir sahil,m,12
8261,pawan pintu,m,11
8262,imsaan,m,6
8264,mitnu santhosh,m,14
8266,anil sen,m,8
8268,sahabbudin,m,10
8269,manoj mahto,m,11
8270,mohd kaif,m,9
8271,gurbax singh,m,12
8272,manjit singh tomer,m,18
8273,karmveer singh,m,14
8274,vikram panwar,m,13
8275,madhu ram,m,9
8277,faizan,m,6
8278,rahul drall,m,11
8279,vishwjeet devnath,m,17
8280,raisingh,m,8
8282,arif niyaz,m,10
8283,mohamad abdul matin,m,19
8285,gurupreet singh,m,15
8286,rajish,m,6
8287,chiddu ram,m,10
8288,mukesh so late raju,m,19
8289,niranjan lal saini,m,18
8290,dhanraj so sitaram,m,18
8293,vijesh sahu,m,11
8294,teenu,m,5
8295,jauli,m,5
8296,prkesh veer babuu,m,17
8297,sanjeev rai,m,11
8298,anooj patava,m,12
8299,shrawan disko,m,13
8300,mohd rizwan,m,11
8301,ajit singh sonu,m,15
8302,manish kumar,m,12
8303,sanjay gomes,m,12
8306,vishal vaini,m,12
8307,ramji lal,m,9
8308,ritesh agrwal,m,13
8309,sushmendra kumar chandan,m,24
8310,rahish kha,m,10
8312,amit paande,m,11
8313,jaynarayan meena,m,16
8315,dinesh yadav,m,12
8316,jisu,m,4
8317,balram toni,m,11
8319,lakhmi,m,6
8320,kalu bhatiya,m,12
8321,ajad rawal,m,10
8322,akhilesh gupta,m,14
8324,sonu devid,m,10
8325,rajesh ram,m,10
8327,lakhan bajadur,m,14
8329,mohd.asif,m,9
8330,lekose joseph,m,13
8331,makrud alam,m,11
8332,dinesh sen,m,10
8334,karandeep singh  balu,m,21
8335,bittoo sahani,m,13
8336,munshi prasad yadav,m,19
8337,ram murat singh,m,15
8338,anwar ali,m,9
8340,deepak rahul saxena,m,19
8341,mukesh gupta,m,12
8342,seeta ram,m,9
8343,mohsin khan,m,11
8344,dhram sigh,m,10
8345,ayan akash,m,10
8346,manish kushwaha so ramesh,m,25
8347,tasleem,m,7
8348,choturam,m,8
8350,dhiru vikky,m,11
8352,dev kumar,m,9
8355,lovely,m,6
8358,mantu gupta,m,11
8359,shiv sahota karan,m,17
8360,bundel sahni,m,12
8361,sunil janu,m,10
8362,chand miyan,m,11
8363,kiran or vikram,m,15
8366,manish tutu,m,11
8367,soheb,m,5
8368,dasharath,m,9
8369,baga sathyanarayana,m,19
8372,shaturughyan chaudhary,m,22
8373,rajesh sharma raju,m,18
8375,moinuddin chand,m,15
8376,sonu so raj kumar,m,17
8378,viplo sardar,m,12
8380,vishvnath sarkar,m,16
8381,vishal singh,m,12
8382,ram dhar,m,8
8383,subhash singh bisht,m,19
8385,kalpna,m,6
8387,aman junuja,m,11
8388,faizan khan,m,11
8390,lokesh so hari singh,m,20
8391,amba lal,m,8
8392,kalyan datt sharma,m,18
8393,happy,m,5
8394,randhir singh parmar,m,20
8396,shakti,m,6
8397,jitenderjita,m,12
8398,nimesh narwani,m,14
8399,monu bansal,m,11
8401,ruchit,m,6
8402,vasuki thakur,m,13
8404,subham jain,m,11
8405,kulli,m,5
8406,latur so gopal koli,m,19
8407,mahud ansari,m,12
8409,santosh mahto,m,13
8410,matok,m,5
8411,monty monu,m,10
8413,fiyaz ansari,m,12
8414,ram ashray,m,10
8415,bajulal,m,7
8416,shazad sanju,m,12
8417,rajvi kumar,m,11
8418,benay kumar dube so surendpati dube ro baradaha,m,47
8420,jhawar lal bakshi,m,17
8421,sohan singh rana,m,16
8423,aamosh jacab,m,12
8424,mithlesh kumar,m,14
8425,nandi,m,5
8426,deepchand balai,m,15
8427,jasvir,m,6
8428,vikarm singh,m,12
8429,sudhir singh,m,12
8430,raeeyan,m,7
8431,shakir bau,m,10
8432,piyus,m,5
8434,gensingh,m,8
8435,yatharth yashodev,m,17
8436,vinod kaushik,m,13
8439,raju rajkumar,m,13
8440,vikrant singh panwar,m,20
8442,balaram,m,7
8443,dharamvir guddu,m,15
8444,shivam mishra,m,13
8445,soyab,m,5
8449,mohd. marukh,m,12
8450,rizwaan,m,7
8451,puran rai,m,9
8452,mahendra yadav,m,14
8453,hariram s0,m,10
8454,lalit alias lowan,m,17
8455,rajesh saini,m,12
8456,hakam singh,m,11
8457,satpal morya,m,12
8459,ruksar,m,6
8460,harish chand shringi,m,20
8461,jitin chunni,m,12
8463,laxminarain,m,11
8466,devender jain,m,13
8467,muskan varma,m,12
8469,nawab kallu,m,11
8470,monupal,m,7
8471,ravi dutt,m,9
8472,dharvesh kumar,m,14
8474,sintu vishwash,m,14
8475,sahdev tiwari,m,13
8476,mohd hasnain,m,12
8477,nooruddin,m,9
8478,mohd. ladla mohd. kaif,m,22
8479,samir raj pal,m,13
8481,puran,m,5
8482,chand kumar,m,11
8483,vishal bunti,m,12
8484,gagan kumar,m,11
8486,sokin,m,5
8487,khairti lal,m,11
8489,ramesh lal,m,10
8490,bharat damor,m,12
8491,alok kumar thakur,m,17
8493,sanjay mehta,m,12
8494,mohit sumitra,m,13
8495,kishan agrawal,m,14
8497,shivji mathur,m,13
8498,gollu,m,5
8499,ravi sinha,m,10
8500,bhuri singh,m,11
8501,balmiki chauhan so budhan chauhan,m,33
8502,bhagvaan singh,m,14
8503,manish bansal,m,13
8506,pinki,m,5
8507,vikram bahadur,m,14
8508,kapil dutt,m,10
8509,vishal ahemad,m,13
8510,rayish,m,6
8511,sunder jha,m,10
8512,ajeet singj,m,11
8513,ashok shrivastav,m,16
8514,jarnail singh,m,13
8515,avid,m,4
8516,sanjya chhetri,m,14
8517,buddha,m,6
8518,govind prasad shahu,m,19
8519,shivani,f,7
8520,isha,f,4
8521,smt shyani devi,f,15
8523,mansi,f,5
8524,mazida,f,6
8525,pooja,f,5
8526,kajal,f,5
8527,meena,f,5
8528,sonam,f,5
8529,buity,f,5
8530,hina,f,4
8531,shakshi sagar,f,13
8532,anita,f,5
8533,neetu,f,5
8534,anshu do,f,8
8535,kanika kathuria,f,15
8536,manju,f,5
8537,shakshi,f,7
8538,reena,f,5
8540,khushboo,f,8
8541,aasmin,f,6
8543,riya masi,f,9
8544,rekha,f,5
8546,gulshan,f,7
8547,priya jain,f,10
8549,versha,f,6
8552,vandana,f,7
8553,roshni,f,6
8555,versa,f,5
8557,sarojani,f,8
8558,nagina,f,6
8560,priyanka,f,8
8561,santna,f,6
8562,khushbu,f,7
8563,any bobby,f,9
8564,deeya kumari,f,12
8565,anjali juneja,f,13
8566,anjali babli,f,12
8567,champa karketta,f,15
8570,rimmi singh,f,11
8571,aanamika misra,f,14
8574,koshal,f,6
8575,laxmi devi wo late sh hukan chand,f,33
8577,poonam,f,6
8578,sna,f,3
8579,nikita senger,f,13
8582,salima,f,6
8583,naziya siddiqui,f,15
8584,priti,f,5
8586,renu rinki,f,10
8587,priya,f,5
8589,ruby,f,4
8590,smt.farhana baigum,f,18
8591,sheetal,f,7
8592,kalyani patro,f,13
8593,anjali,f,6
8594,palak simran,f,12
8596,gurdeep kaur,f,12
8597,dhanwanti devi,f,14
8598,fooljhnah,f,9
8599,smt. gyatri devi,f,16
8600,shehnaz,f,7
8601,ranju,f,5
8602,vidhi,f,5
8604,meena kumari,f,12
8605,savita sagar panap,f,18
8606,reena devi,f,10
8608,rakhi,f,5
8609,priynka,f,7
8610,janki,f,5
8611,laxmi kumari,f,12
8613,sohni,f,5
8614,basnti,f,6
8615,meera,f,5
8617,kiran devi,f,10
8618,sonia,f,5
8619,doly,f,4
8621,manisha,f,7
8623,swati joshi,f,11
8625,vimla,f,5
8626,suman,f,5
8628,pooja jayshwal,f,14
8630,seema,f,5
8631,kranti,f,6
8633,aarti devi,f,10
8634,sashi mittal,f,12
8636,shajiya,f,7
8637,priya sexena,f,12
8638,shanti devi,f,11
8639,sitara,f,6
8640,aakanksha,f,9
8641,charu,f,5
8642,nilam devi,f,10
8643,chango uraon,f,12
8644,shiv kumari,f,11
8645,kaushaliya,f,10
8646,mangla urf mangi bai,f,20
8647,grace p.a.,f,10
8648,usha,f,4
